"","tissue","ENSG00000104814"
"1","Uterus",4.112
"2","Breast",1.538
"3","Skin",4.051
"4","Brain",1.291
"5","Thyroid",2.537
"6","Lung",5.794
"7","Pancreas",0.358
"8","Esophagus",1.095
"9","Stomach",1.682
"10","Skin",2.039
"11","Colon",1.229
"12","Small Intestine",2.293
"13","Prostate",3.464
"14","Skin",2.269
"15","Thyroid",3.569
"16","Lung",13.18
"17","Prostate",4.187
"18","Brain",1.984
"19","Skin",0.2411
"20","Thyroid",16.32
"21","Lung",9.799
"22","Colon",1.48
"23","Skin",0.3534
"24","Lung",7.234
"25","Thyroid",2.49
"26","Esophagus",1.315
"27","Stomach",1.715
"28","Pancreas",0.5559
"29","Small Intestine",2.858
"30","Colon",1.079
"31","Prostate",4.366
"32","Breast",2.045
"33","Skin",0.1135
"34","Lung",9.984
"35","Thyroid",1.391
"36","Pancreas",0.3766
"37","Breast",3.337
"38","Small Intestine",8.409
"39","Colon",2.067
"40","Esophagus",1.67
"41","Stomach",3.336
"42","Skin",0.5923
"43","Thyroid",3.9
"44","Lung",14.43
"45","Pancreas",0.2396
"46","Colon",3.846
"47","Brain",1.283
"48","Skin",0.2173
"49","Skin",0.2295
"50","Thyroid",4.644
"51","Esophagus",1.062
"52","Uterus",2.378
"53","Skin",0.2847
"54","Thyroid",5.73
"55","Breast",3.746
"56","Colon",1.989
"57","Brain",1.907
"58","Skin",0.27
"59","Thyroid",4.428
"60","Lung",12.55
"61","Prostate",1.747
"62","Colon",3.163
"63","Esophagus",0.4137
"64","Stomach",1.735
"65","Pancreas",0.5367
"66","Small Intestine",1.776
"67","Colon",1.273
"68","Stomach",3.288
"69","Thyroid",1.547
"70","Lung",7.196
"71","Breast",1.242
"72","Prostate",2.502
"73","Esophagus",1.22
"74","Skin",1.164
"75","Skin",0.3419
"76","Thyroid",4.319
"77","Skin",0.4174
"78","Brain",0.5096
"79","Thyroid",3.884
"80","Esophagus",2.35
"81","Breast",2.007
"82","Small Intestine",7.07
"83","Skin",0.2503
"84","Brain",0.7207
"85","Breast",1.992
"86","Skin",0.3908
"87","Thyroid",1.254
"88","Lung",10.73
"89","Pancreas",0.294
"90","Esophagus",1.16
"91","Stomach",11.85
"92","Ovary",1.404
"93","Uterus",1.972
"94","Small Intestine",42.85
"95","Colon",4.185
"96","Skin",0.1662
"97","Brain",1.204
"98","Thyroid",5.176
"99","Liver",1.823
"100","Esophagus",0.7124
"101","Colon",1.636
"102","Breast",1.233
"103","Liver",1.804
"104","Lung",11.16
"105","Thyroid",6.093
"106","Esophagus",1.861
"107","Small Intestine",26.46
"108","Colon",1.467
"109","Prostate",1.179
"110","Breast",2.271
"111","Skin",1.382
"112","Skin",0.2886
"113","Brain",1.042
"114","Thyroid",3.637
"115","Esophagus",3.652
"116","Prostate",3.443
"117","Skin",0.09626
"118","Brain",1.895
"119","Breast",1.309
"120","Lung",8.758
"121","Esophagus",7.282
"122","Thyroid",3.585
"123","Skin",0.1661
"124","Brain",0.8356
"125","Breast",2.625
"126","Thyroid",4.726
"127","Lung",22.26
"128","Esophagus",0.7987
"129","Stomach",1.609
"130","Colon",2.233
"131","Thyroid",1.589
"132","Esophagus",0.9683
"133","Stomach",2.206
"134","Skin",2.575
"135","Breast",3.982
"136","Colon",5.259
"137","Ovary",1.493
"138","Uterus",1.943
"139","Skin",0.2745
"140","Brain",0.9894
"141","Lung",5.586
"142","Thyroid",3.323
"143","Colon",1.554
"144","Ovary",1.963
"145","Uterus",1.946
"146","Breast",4.968
"147","Esophagus",2.029
"148","Skin",0.2923
"149","Thyroid",14.76
"150","Colon",5.813
"151","Skin",0.05799
"152","Lung",6.216
"153","Liver",1.213
"154","Thyroid",2.284
"155","Esophagus",2.199
"156","Pancreas",0.383
"157","Stomach",1.018
"158","Small Intestine",25.77
"159","Colon",2.105
"160","Prostate",2.573
"161","Breast",1.072
"162","Skin",0.2558
"163","Brain",1.449
"164","Thyroid",5.036
"165","Esophagus",1.339
"166","Colon",1.689
"167","Breast",6.179
"168","Kidney",1.589
"169","Brain",1.118
"170","Thyroid",1.948
"171","Breast",5.432
"172","Skin",6.122
"173","Skin",0.1436
"174","Brain",1.17
"175","Thyroid",8.488
"176","Ovary",1.479
"177","Pancreas",0.2347
"178","Liver",1.768
"179","Lung",10.09
"180","Breast",4.355
"181","Colon",1.617
"182","Esophagus",0.9816
"183","Stomach",2.198
"184","Uterus",2.236
"185","Skin",0.1846
"186","Brain",1.586
"187","Skin",0.4233
"188","Lung",9.905
"189","Thyroid",2.642
"190","Pancreas",0.6808
"191","Small Intestine",35.88
"192","Colon",3.665
"193","Esophagus",1.567
"194","Stomach",3.047
"195","Ovary",1.686
"196","Uterus",1.247
"197","Breast",1.959
"198","Skin",0.5093
"199","Pancreas",0.717
"200","Lung",10.83
"201","Thyroid",4.483
"202","Esophagus",2.669
"203","Small Intestine",2.967
"204","Colon",4.051
"205","Breast",2.232
"206","Skin",3.6
"207","Thyroid",2.747
"208","Lung",10.05
"209","Pancreas",0.2925
"210","Prostate",2.19
"211","Breast",1.394
"212","Esophagus",3.405
"213","Stomach",4.623
"214","Colon",10.18
"215","Small Intestine",115.8
"216","Skin",4.83
"217","Brain",0.7675
"218","Lung",18.1
"219","Thyroid",7.025
"220","Liver",1.873
"221","Esophagus",3.193
"222","Stomach",1.968
"223","Skin",0.3484
"224","Brain",1.805
"225","Thyroid",81.01
"226","Lung",10.99
"227","Liver",3.172
"228","Breast",4.882
"229","Skin",0.3332
"230","Brain",0.9437
"231","Lung",4.693
"232","Esophagus",1.928
"233","Breast",2.447
"234","Colon",10.69
"235","Thyroid",2.017
"236","Prostate",8.366
"237","Skin",0.1676
"238","Brain",1.298
"239","Skin",0.09271
"240","Brain",3.424
"241","Thyroid",9.774
"242","Liver",1.821
"243","Lung",6.803
"244","Kidney",0.4773
"245","Prostate",4.075
"246","Breast",2.337
"247","Esophagus",1.565
"248","Skin",0.4921
"249","Brain",1.115
"250","Pancreas",0.4323
"251","Esophagus",1.533
"252","Colon",4.763
"253","Breast",7.107
"254","Skin",0.3201
"255","Thyroid",1.574
"256","Lung",9.516
"257","Pancreas",0.7869
"258","Prostate",2.881
"259","Breast",2.409
"260","Esophagus",1.411
"261","Colon",3.905
"262","Small Intestine",48.34
"263","Stomach",1.5
"264","Skin",0.2556
"265","Thyroid",2.744
"266","Lung",12.85
"267","Esophagus",2.984
"268","Colon",2.07
"269","Ovary",2.142
"270","Uterus",2.237
"271","Breast",6.55
"272","Skin",4.462
"273","Thyroid",0.7866
"274","Esophagus",1.004
"275","Stomach",1.923
"276","Small Intestine",83.98
"277","Colon",4.347
"278","Prostate",2.489
"279","Breast",0.6358
"280","Skin",0.7452
"281","Brain",1.337
"282","Breast",3.988
"283","Lung",15.67
"284","Colon",5.159
"285","Skin",0.2326
"286","Pancreas",0.6633
"287","Esophagus",0.6679
"288","Stomach",2.614
"289","Colon",1.055
"290","Thyroid",1.638
"291","Lung",8.03
"292","Liver",0.7086
"293","Prostate",1.886
"294","Breast",1.803
"295","Skin",0.2295
"296","Brain",1.34
"297","Thyroid",2.985
"298","Kidney",3.31
"299","Colon",2.14
"300","Skin",0.6749
"301","Brain",1.601
"302","Thyroid",2.514
"303","Lung",13.47
"304","Esophagus",1.182
"305","Liver",0.8109
"306","Breast",1.36
"307","Small Intestine",136.3
"308","Colon",1.024
"309","Prostate",2.239
"310","Skin",0.6943
"311","Brain",1.22
"312","Skin",0.3227
"313","Brain",1.728
"314","Thyroid",2.616
"315","Lung",13.83
"316","Esophagus",0.8772
"317","Thyroid",2.209
"318","Stomach",1.993
"319","Pancreas",0.852
"320","Esophagus",4.922
"321","Ovary",1.247
"322","Skin",3.037
"323","Colon",9.991
"324","Small Intestine",171.3
"325","Skin",0.2732
"326","Brain",1.061
"327","Lung",17.8
"328","Liver",1.357
"329","Breast",3.523
"330","Skin",0.1869
"331","Brain",0.6457
"332","Lung",7.318
"333","Esophagus",0.534
"334","Breast",1.116
"335","Stomach",1.274
"336","Prostate",0.4507
"337","Skin",0.1038
"338","Thyroid",76.98
"339","Pancreas",0.4897
"340","Esophagus",0.5926
"341","Small Intestine",117.5
"342","Ovary",2.098
"343","Skin",0.2636
"344","Brain",1.088
"345","Thyroid",4.014
"346","Lung",7.546
"347","Liver",0.9456
"348","Colon",1.514
"349","Ovary",2.356
"350","Uterus",2.713
"351","Esophagus",1.131
"352","Skin",0.1842
"353","Lung",10.01
"354","Esophagus",1.947
"355","Thyroid",0.778
"356","Colon",1.433
"357","Uterus",2.411
"358","Ovary",1.785
"359","Breast",1.293
"360","Skin",0.2515
"361","Brain",0.09318
"362","Colon",1.043
"363","Esophagus",0.2756
"364","Skin",0.1308
"365","Brain",1.518
"366","Lung",12.04
"367","Breast",3.792
"368","Esophagus",2.472
"369","Prostate",2.637
"370","Liver",1.511
"371","Brain",0.5099
"372","Thyroid",3.382
"373","Lung",6.205
"374","Liver",0.9024
"375","Ovary",1.203
"376","Colon",4.596
"377","Skin",4.664
"378","Skin",0.1219
"379","Thyroid",1.445
"380","Lung",7.427
"381","Esophagus",9.454
"382","Pancreas",0.3973
"383","Stomach",2.112
"384","Colon",4.274
"385","Breast",3.539
"386","Skin",0.1423
"387","Brain",0.7446
"388","Skin",0.2869
"389","Brain",0.8171
"390","Liver",1.725
"391","Thyroid",4.144
"392","Lung",9.924
"393","Colon",2.099
"394","Esophagus",1.785
"395","Skin",0.3964
"396","Brain",0.4138
"397","Thyroid",2.545
"398","Lung",6.819
"399","Skin",0.352
"400","Thyroid",3.454
"401","Liver",1.248
"402","Kidney",1.666
"403","Lung",20.38
"404","Esophagus",2.251
"405","Stomach",3.63
"406","Colon",2.009
"407","Prostate",3.03
"408","Skin",0.1248
"409","Thyroid",3.457
"410","Liver",1.478
"411","Lung",2.669
"412","Esophagus",0.3732
"413","Ovary",0.9132
"414","Breast",6.067
"415","Brain",1.192
"416","Skin",0.1598
"417","Thyroid",1.811
"418","Lung",6.079
"419","Pancreas",0.3801
"420","Prostate",5.293
"421","Esophagus",0.9907
"422","Stomach",3.351
"423","Breast",2.199
"424","Small Intestine",85.55
"425","Colon",1.105
"426","Skin",0.1827
"427","Esophagus",1.273
"428","Stomach",1.971
"429","Colon",13.72
"430","Prostate",3.828
"431","Skin",0.218
"432","Breast",1.136
"433","Lung",7.889
"434","Esophagus",5.641
"435","Liver",1.49
"436","Colon",1.535
"437","Skin",0.1763
"438","Brain",1.305
"439","Lung",8.988
"440","Esophagus",6.173
"441","Skin",0.3487
"442","Brain",0.9666
"443","Thyroid",8.053
"444","Skin",0.2178
"445","Brain",2.646
"446","Lung",42.79
"447","Thyroid",4.491
"448","Liver",4.09
"449","Pancreas",0.3852
"450","Esophagus",5.515
"451","Stomach",2.487
"452","Colon",2.128
"453","Ovary",1.94
"454","Uterus",4.329
"455","Skin",0.2437
"456","Brain",1.135
"457","Lung",13.06
"458","Thyroid",9.11
"459","Skin",0.5968
"460","Brain",1.886
"461","Skin",0.3348
"462","Thyroid",18.02
"463","Liver",1.751
"464","Kidney",0.5089
"465","Pancreas",0.3716
"466","Ovary",1.366
"467","Stomach",1.817
"468","Uterus",2.128
"469","Colon",1.363
"470","Lung",22.44
"471","Esophagus",3.931
"472","Skin",3.211
"473","Brain",1.33
"474","Lung",5.872
"475","Thyroid",4.343
"476","Skin",0.1613
"477","Brain",2.394
"478","Liver",1.532
"479","Lung",10.69
"480","Skin",5.321
"481","Lung",5.422
"482","Thyroid",1.656
"483","Esophagus",1.242
"484","Stomach",1.25
"485","Ovary",1.026
"486","Colon",2.384
"487","Skin",0.5207
"488","Pancreas",0.3404
"489","Lung",6.73
"490","Thyroid",0.9121
"491","Esophagus",2.437
"492","Stomach",0.9114
"493","Small Intestine",12.08
"494","Ovary",0.8523
"495","Uterus",1.518
"496","Breast",1.146
"497","Skin",0.1108
"498","Liver",1.382
"499","Pancreas",0.6645
"500","Thyroid",3.428
"501","Lung",8.852
"502","Esophagus",1.63
"503","Colon",1.387
"504","Skin",2.129
"505","Brain",1.003
"506","Liver",1.378
"507","Colon",1.002
"508","Breast",2.851
"509","Skin",0.1144
"510","Thyroid",2.929
"511","Pancreas",0.5087
"512","Breast",1.525
"513","Esophagus",2.094
"514","Lung",6.88
"515","Prostate",2.015
"516","Skin",0.2451
"517","Brain",0.7434
"518","Lung",5.714
"519","Esophagus",5.584
"520","Colon",1.22
"521","Skin",0.4102
"522","Brain",1.643
"523","Breast",7.723
"524","Thyroid",22.06
"525","Esophagus",1.575
"526","Ovary",1.399
"527","Uterus",3.777
"528","Colon",1.4
"529","Skin",0.2133
"530","Brain",1.107
"531","Thyroid",5.128
"532","Lung",18.67
"533","Esophagus",0.5342
"534","Colon",2.449
"535","Skin",0.1806
"536","Brain",0.8683
"537","Thyroid",3.719
"538","Liver",1.128
"539","Prostate",10.56
"540","Colon",1.379
"541","Skin",0.2659
"542","Thyroid",11.63
"543","Lung",12.9
"544","Colon",6.514
"545","Esophagus",10.08
"546","Stomach",2.435
"547","Prostate",3.434
"548","Small Intestine",22.11
"549","Skin",0.3086
"550","Brain",0.6992
"551","Thyroid",3.582
"552","Liver",1.745
"553","Kidney",2.719
"554","Skin",0.4764
"555","Thyroid",5.366
"556","Esophagus",2.339
"557","Stomach",1.869
"558","Small Intestine",14.85
"559","Liver",1.396
"560","Colon",3.265
"561","Lung",4.589
"562","Breast",0.7641
"563","Skin",0.1767
"564","Brain",1.468
"565","Thyroid",4.214
"566","Breast",2.396
"567","Lung",6.892
"568","Ovary",2.36
"569","Uterus",6.089
"570","Skin",0.4437
"571","Breast",0.3951
"572","Thyroid",2.14
"573","Liver",2.738
"574","Lung",11.87
"575","Colon",7.384
"576","Small Intestine",3.794
"577","Esophagus",1.876
"578","Pancreas",0.8178
"579","Stomach",1.497
"580","Skin",3.557
"581","Skin",0.4061
"582","Esophagus",3.433
"583","Lung",9.019
"584","Stomach",4.749
"585","Small Intestine",20.22
"586","Pancreas",0.776
"587","Thyroid",5.17
"588","Prostate",3.788
"589","Skin",0.09092
"590","Thyroid",2.751
"591","Esophagus",0.9934
"592","Stomach",1.932
"593","Pancreas",0.3638
"594","Colon",1.306
"595","Small Intestine",69.26
"596","Ovary",1.699
"597","Uterus",1.19
"598","Skin",0.3159
"599","Brain",1.716
"600","Lung",6.551
"601","Thyroid",3.702
"602","Liver",1.309
"603","Skin",0.3451
"604","Brain",0.5416
"605","Breast",5.902
"606","Lung",12.43
"607","Skin",0.3456
"608","Brain",1.529
"609","Breast",7.021
"610","Thyroid",26.39
"611","Lung",13.55
"612","Esophagus",1.331
"613","Liver",2.196
"614","Ovary",1.824
"615","Uterus",3.587
"616","Colon",2.036
"617","Skin",0.6497
"618","Liver",1.657
"619","Breast",1.719
"620","Thyroid",2.834
"621","Ovary",1.28
"622","Uterus",1.492
"623","Pancreas",0.3401
"624","Esophagus",1.114
"625","Stomach",4.366
"626","Colon",5.555
"627","Skin",0.3361
"628","Breast",3.67
"629","Liver",1.122
"630","Thyroid",5.444
"631","Lung",8.269
"632","Esophagus",2.276
"633","Colon",1.632
"634","Prostate",2.093
"635","Skin",0.2398
"636","Brain",1.087
"637","Breast",6.098
"638","Esophagus",2.749
"639","Skin",0.2869
"640","Thyroid",1.876
"641","Lung",7.359
"642","Pancreas",0.8999
"643","Prostate",2.902
"644","Esophagus",2.337
"645","Stomach",4.99
"646","Skin",0.3043
"647","Lung",7.741
"648","Pancreas",0.26
"649","Esophagus",1.586
"650","Stomach",0.9742
"651","Colon",1.254
"652","Skin",0.4602
"653","Thyroid",4.766
"654","Lung",6.968
"655","Esophagus",4.755
"656","Ovary",1.39
"657","Stomach",6.959
"658","Small Intestine",11.68
"659","Colon",8.98
"660","Breast",3.805
"661","Skin",0.1195
"662","Esophagus",2.243
"663","Skin",0.2288
"664","Thyroid",2.861
"665","Pancreas",0.7672
"666","Prostate",8.168
"667","Esophagus",1.267
"668","Stomach",1.795
"669","Liver",1.764
"670","Small Intestine",15.11
"671","Colon",1.211
"672","Skin",0.258
"673","Pancreas",0.6219
"674","Kidney",23.47
"675","Esophagus",1.445
"676","Stomach",8.57
"677","Lung",8.79
"678","Colon",7.18
"679","Small Intestine",65.38
"680","Ovary",4.331
"681","Uterus",3.061
"682","Skin",0.2733
"683","Brain",3.714
"684","Thyroid",4.245
"685","Liver",3.01
"686","Prostate",7.678
"687","Esophagus",1.939
"688","Skin",0.1668
"689","Thyroid",3.636
"690","Lung",9.198
"691","Pancreas",0.8583
"692","Esophagus",5.468
"693","Uterus",1.821
"694","Stomach",1.634
"695","Ovary",4.816
"696","Breast",4.169
"697","Colon",10.05
"698","Small Intestine",90.19
"699","Skin",0.1924
"700","Esophagus",3.095
"701","Stomach",4.637
"702","Ovary",1.779
"703","Uterus",2.893
"704","Colon",4.631
"705","Skin",0.4315
"706","Brain",2.883
"707","Thyroid",2.362
"708","Lung",8.183
"709","Esophagus",6.513
"710","Small Intestine",25.78
"711","Colon",9.057
"712","Prostate",3.303
"713","Breast",0.9287
"714","Skin",0.2889
"715","Brain",0.2875
"716","Breast",5.841
"717","Skin",0.1875
"718","Brain",0.4195
"719","Thyroid",3.738
"720","Liver",3.704
"721","Colon",11.66
"722","Brain",3.88
"723","Skin",4.597
"724","Lung",10.3
"725","Skin",0.1334
"726","Brain",1.671
"727","Breast",13.84
"728","Liver",2.572
"729","Esophagus",3.593
"730","Brain",0.8026
"731","Thyroid",7.337
"732","Lung",7.46
"733","Skin",1.761
"734","Esophagus",4.393
"735","Colon",1.048
"736","Skin",0.3495
"737","Liver",2.78
"738","Lung",10.84
"739","Thyroid",3.849
"740","Pancreas",1.055
"741","Esophagus",1.882
"742","Stomach",3.291
"743","Colon",6.637
"744","Small Intestine",8.529
"745","Skin",0.1819
"746","Brain",2.908
"747","Colon",1.57
"748","Breast",3.462
"749","Lung",5.616
"750","Thyroid",3.631
"751","Pancreas",0.7849
"752","Small Intestine",30.16
"753","Colon",1.591
"754","Esophagus",2.319
"755","Stomach",3.54
"756","Breast",1.812
"757","Skin",2.037
"758","Brain",0.3781
"759","Skin",0.2817
"760","Skin",0.3424
"761","Brain",1.528
"762","Thyroid",4.422
"763","Lung",7.74
"764","Colon",1.02
"765","Small Intestine",11.4
"766","Skin",2.529
"767","Breast",5.36
"768","Ovary",4.822
"769","Uterus",1.417
"770","Esophagus",2.335
"771","Stomach",9.054
"772","Pancreas",0.6285
"773","Skin",0.3663
"774","Thyroid",10.83
